Review No.,Review Text,Word Count
1,Poori colony jaanti hai is jagah ko China Town ke paas pe ye market Delhi waala feel aata hai yahan. fabric ekdum soft tha. ek baar jaoge toh baar baar jaoge.,31
2,Stumbled upon this place near Malviya Nagar perfect for shopping indo-western outfits. feels like Delhi shopping in Jaipur. budget-friendly options everywhere. must visit for every girl in Jaipur.,28
3,"Poori colony jaanti hai is jagah ko yaar, Delhi waala feel aata hai yahan. Embroidered kurtis ke options bahut saare hain. student budget ke liye perfect. mere liye toh best market hai.",32
4,Ek baar gaya tha co-ord sets 500 se kam mein mili yahan pe. opposite to China Town restaurant. Pink City ka Sarojini nagar. ek baar jaoge toh baar baar jaoge.,30
5,Mummy ke saath aayi thi shopping ko trendy kurtis milti hain yahan — floral kurtis budget pe koi compromise nahi. premium fabric at low cost. sab ko bolunga/bolungi iske baare mein.,31
6,Bandhan Bank ke paas se guzar rahi thi ye jagah energy bohot aachi hai yahan ki. Ethnic tops 300-400 mein mila milta hai. 5 star deserve karta hai ye market.,30
7,Poori colony jaanti hai is jagah ko new arrivals regular aate hain yahan sab milta hai. opposite to China Town restaurant pe hoon toh zaroor jaana. branded reject ka maal hai toh quality top. sab ko bolunga/bolungi iske baare mein.,40
8,Bandhan Bank ke paas se guzar rahi thi ethnic tops itna sasta kahan milega yahan pe. near Bandhan Bank Malviya Nagar. Delhi-style shopping Jaipur mein. sab ko bolunga/bolungi iske baare mein.,31
9,Meri friend ne suggest kiya tha easily findable in Malviya Nagar pe ye market Delhi waala feel aata hai yahan. stitching bhi aachi thi. meri mummy bhi fan ho gayi.,30
10,Told all my friends about this market premium collection at street prices. Cargo jeans starts at affordable rates. crowded on weekends but totally worth it. best decision to visit.,29
11,"Meri friend ne suggest kiya tha yaar, Delhi waala feel aata hai yahan. Palazzo sets ke options bahut saare hain. itna sasta kahan milega. next time phir aaunga/aaungi.",28
12,Bandhan Bank ke paas se guzar rahi thi opposite to China Town restaurant pe ye market shoppers paradise samajh lo. premium collection milti hai yahan. sab ko bolunga/bolungi iske baare mein.,31
13,China Town ke opposite dekha sab latest design available yahan sab milta hai. Malviya Nagar locality mein pe hoon toh zaroor jaana. premium fabric at low cost. ek baar jaoge toh baar baar jaoge.,34
14,Abhi abhi aayi hoon Malviya Nagar mein hai pe ye market fun shopping experience tha. branded reject mein bhi quality zabardast. ek baar jaoge toh baar baar jaoge.,28
15,Heard about it from a colleague feels like Sarojini Nagar but in Jaipur. Got summer co-ords here and great value for money. must visit for every girl in Jaipur.,29
16,My friend recommended this and love this place. new styles keep coming in at amazing prices. export quality pieces at throwaway prices. China Town ke paas. weekend trip sorted!,29
17,Sab kehte the jaao trendy outfits girls ke liye — palazzo sets 500 se kam mein mili. branded reject ka maal hai toh quality top. zaroor jaana chahiye.,28
18,"Mummy ke saath aayi thi shopping ko gayi thi summer kurtis lene, pocket friendly hai mila. energy bohot aachi hai yahan ki. ek baar jaoge toh baar baar jaoge.",29
19,Ek baar gaya tha Malviya Nagar area mein. branded reject mein bhi quality zabardast. trendy outfits girls ke liye. Straight kurtis pocket friendly hai. 5 star deserve karta hai ye market.,31
